,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,1997-06-01,34.52,actual,Q2,1997,2593,0.3889,0.05177334361743155
1,1997-07-01,36.02,actual,Q3,1997,2593,0.3852,0.053509078287697645
2,1997-08-01,39.01,actual,Q3,1997,2593,0.3852,0.05795083686849209
3,1997-09-01,42.14,actual,Q3,1997,2593,0.3852,0.06260057076745083
4,1997-10-01,47.33,actual,Q4,1997,2593,0.3949,0.07208105283455457
5,1997-11-01,52.38,actual,Q4,1997,2593,0.3949,0.07977193212495179
6,1997-12-01,53.6,actual,Q4,1997,2593,0.3949,0.08162992672580022
7,1998-01-01,54.5,actual,Q1,1998,2593,0.3767,0.07917527959892018
8,1998-02-01,52.84,actual,Q1,1998,2593,0.3767,0.07676370227535674
9,1998-03-01,50.02,actual,Q1,1998,2593,0.3767,0.07266692634014654
10,1998-04-01,45.25,actual,Q2,1998,2593,0.3889,0.0678662745854223
11,1998-05-01,40.56,actual,Q2,1998,2593,0.3889,0.06083217894330892
12,1998-06-01,30.2,actual,Q2,1998,2593,0.3889,0.04529417662938681
13,1998-07-01,30.3,actual,Q3,1998,2593,0.3852,0.04501180100269958
14,1998-08-01,38.01,actual,Q3,1998,2593,0.3852,0.056465298881604314
15,1998-09-01,44.32,actual,Q3,1998,2593,0.3852,0.06583904357886619
16,1998-10-01,42.14,actual,Q4,1998,2593,0.3949,0.064176961048978
17,1998-11-01,39.6,actual,Q4,1998,2593,0.3949,0.06030867720786734
18,1998-12-01,34.59,actual,Q4,1998,2593,0.3949,0.052678715773235636
19,1999-01-01,38.45,actual,Q1,1999,2593,0.3767,0.05585852294639414
20,1999-02-01,37.17,actual,Q1,1999,2593,0.3767,0.05399899344388739
21,1999-03-01,49.39,actual,Q1,1999,2593,0.3767,0.0717516891631315
22,1999-04-01,52.38,actual,Q2,1999,2593,0.3889,0.07855989973004243
23,1999-05-01,56.19,actual,Q2,1999,2593,0.3889,0.08427416505977633
24,1999-06-01,57.3,actual,Q2,1999,2593,0.3889,0.08593895102198226
25,1999-07-01,65.86,actual,Q3,1999,2593,0.3852,0.09783753181642885
26,1999-08-01,70.12,actual,Q3,1999,2593,0.3852,0.10416592364057077
27,1999-09-01,61.09,actual,Q3,1999,2593,0.3852,0.09075151561897415
28,1999-10-01,72.12,actual,Q4,1999,2593,0.3949,0.10983489394523717
29,1999-11-01,78.59,actual,Q4,1999,2593,0.3949,0.11968835711531045
30,1999-12-01,86.21,actual,Q4,1999,2593,0.3949,0.1312932086386425
31,2000-01-01,93.27,actual,Q1,2000,2593,0.3767,0.13549868492094097
32,2000-02-01,90.19,actual,Q1,2000,2593,0.3767,0.13102419205553414
33,2000-03-01,99.33,actual,Q1,2000,2593,0.3767,0.14430239490937138
34,2000-04-01,88.63,actual,Q2,2000,2593,0.3889,0.1329279097570382
35,2000-05-01,109.3,actual,Q2,2000,2593,0.3889,0.16392892402622444
36,2000-06-01,132.1,actual,Q2,2000,2593,0.3889,0.19812452757423832
37,2000-07-01,150.2,actual,Q3,2000,2593,0.3852,0.22312780563054374
38,2000-08-01,160.8,actual,Q3,2000,2593,0.3852,0.23887450829155418
39,2000-09-01,164.0,actual,Q3,2000,2593,0.3852,0.24362822984959506
40,2000-10-01,174.6,actual,Q4,2000,2593,0.3949,0.26590644041650596
41,2000-11-01,181.7,actual,Q4,2000,2593,0.3949,0.2767193598148862
42,2000-12-01,183.0,actual,Q4,2000,2593,0.3949,0.27869919012726574
43,2001-01-01,161.6,actual,Q1,2001,2593,0.3767,0.23476559969147703
44,2001-02-01,116.1,actual,Q1,2001,2593,0.3767,0.16866513690705742
45,2001-03-01,117.5,actual,Q1,2001,2593,0.3767,0.17069899730042418
46,2001-04-01,92.32,actual,Q2,2001,2593,0.3889,0.13846219822599304
47,2001-05-01,85.51,actual,Q2,2001,2593,0.3889,0.12824851137678367
48,2001-06-01,85.15,actual,Q2,2001,2593,0.3889,0.1277085807944466
49,2001-07-01,86.04,actual,Q3,2001,2593,0.3852,0.12781568839182414
50,2001-08-01,90.28,actual,Q3,2001,2593,0.3852,0.1341143694562283
51,2001-09-01,93.08,actual,Q3,2001,2593,0.3852,0.13827387581951406
52,2001-10-01,103.4,actual,Q4,2001,2593,0.3949,0.15747265715387582
53,2001-11-01,110.6,actual,Q4,2001,2593,0.3949,0.16843787119166986
54,2001-12-01,117.3,actual,Q4,2001,2593,0.3949,0.17864161203239487
55,2002-01-01,120.4,actual,Q1,2002,2593,0.3767,0.1749119938295411
56,2002-02-01,114.7,actual,Q1,2002,2593,0.3767,0.1666312765136907
