,ds,merged,forecast,Quarter,Year,capital,EPS_ratio,EPS_forecast
0,2010-03-01,0.0,actual,1.0,2010,82.32,0.09029999999999999,0.0
1,2010-04-01,2.62,actual,2.0,2010,82.32,0.09029999999999999,0.02873979591836735
2,2010-05-01,1.26,actual,2.0,2010,82.32,0.09029999999999999,0.013821428571428571
3,2010-06-01,1.04,actual,2.0,2010,82.32,0.09029999999999999,0.011408163265306123
4,2010-07-01,1.63,actual,3.0,2010,82.32,0.09029999999999999,0.017880102040816328
5,2010-08-01,2.66,actual,3.0,2010,82.32,0.09029999999999999,0.02917857142857143
6,2010-09-01,0.424,actual,3.0,2010,82.32,0.09029999999999999,0.004651020408163265
7,2010-10-01,2.04,actual,4.0,2010,82.32,0.09029999999999999,0.022377551020408164
8,2010-11-01,-0.323,actual,4.0,2010,82.32,0.09029999999999999,-0.0035431122448979597
9,2010-12-01,-0.636,actual,4.0,2010,82.32,0.09029999999999999,-0.006976530612244898
10,2011-01-01,1.64,actual,1.0,2011,82.32,0.04,0.007968901846452867
11,2011-02-01,1.8,actual,1.0,2011,82.32,0.04,0.008746355685131197
12,2011-03-01,0.874,actual,1.0,2011,82.32,0.04,0.00424684159378037
13,2011-04-01,1.22,actual,2.0,2011,82.32,0.04,0.005928085519922256
14,2011-05-01,0.119,actual,2.0,2011,82.32,0.04,0.0005782312925170067
15,2011-06-01,0.0204,actual,2.0,2011,82.32,0.04,9.91253644314869e-05
16,2011-07-01,0.819,actual,3.0,2011,82.32,0.04,0.003979591836734694
17,2011-08-01,0.719,actual,3.0,2011,82.32,0.04,0.003493683187560739
18,2011-09-01,2.71,actual,3.0,2011,82.32,0.04,0.013168124392614191
19,2011-10-01,2.23,actual,4.0,2011,82.32,0.04,0.010835762876579204
20,2011-11-01,0.37,actual,4.0,2011,82.32,0.04,0.0017978620019436348
21,2011-12-01,-1.15,actual,4.0,2011,82.32,0.04,-0.005587949465500487
22,2012-01-01,2.8,actual,1.0,2012,82.32,0.07730000000000001,0.026292517006802726
23,2012-02-01,1.72,actual,1.0,2012,82.32,0.07730000000000001,0.016151117589893106
24,2012-03-01,0.387,actual,1.0,2012,82.32,0.07730000000000001,0.0036340014577259483
25,2012-04-01,-0.157,actual,2.0,2012,82.32,0.07730000000000001,-0.00147425898931001
26,2012-05-01,1.22,actual,2.0,2012,82.32,0.07730000000000001,0.011456025267249759
27,2012-06-01,0.509,actual,2.0,2012,82.32,0.07730000000000001,0.004779603984450924
28,2012-07-01,0.196,actual,3.0,2012,82.32,0.07730000000000001,0.0018404761904761908
29,2012-08-01,0.842,actual,3.0,2012,82.32,0.07730000000000001,0.007906535471331392
30,2012-09-01,0.552,actual,3.0,2012,82.32,0.07730000000000001,0.005183381924198252
31,2012-10-01,0.0438,actual,4.0,2012,82.32,0.07730000000000001,0.00041129008746355693
32,2012-11-01,2.24,actual,4.0,2012,82.32,0.07730000000000001,0.02103401360544218
33,2012-12-01,3.16,actual,4.0,2012,82.32,0.07730000000000001,0.029672983479105935
34,2013-01-01,11.94,actual,1.0,2013,82.32,0.052300000000000006,0.07585787172011664
35,2013-02-01,8.6,actual,1.0,2013,82.32,0.052300000000000006,0.05463799805636541
36,2013-03-01,11.3,actual,1.0,2013,82.32,0.052300000000000006,0.07179178814382899
37,2013-04-01,13.2,actual,2.0,2013,82.32,0.052300000000000006,0.08386297376093296
38,2013-05-01,12.94,actual,2.0,2013,82.32,0.052300000000000006,0.08221112730806611
39,2013-06-01,13.54,actual,2.0,2013,82.32,0.052300000000000006,0.08602308066083578
40,2013-07-01,14.23,actual,3.0,2013,82.32,0.052300000000000006,0.09040682701652092
41,2013-08-01,13.29,actual,3.0,2013,82.32,0.052300000000000006,0.08443476676384841
42,2013-09-01,15.79,actual,3.0,2013,82.32,0.052300000000000006,0.10031790573372208
43,2013-10-01,13.53,actual,4.0,2013,82.32,0.052300000000000006,0.08595954810495629
44,2013-11-01,14.6,actual,4.0,2013,82.32,0.052300000000000006,0.09275753158406222
45,2013-12-01,35.44,actual,4.0,2013,82.32,0.052300000000000006,0.22515937803692906
46,2014-01-01,14.22,actual,1.0,2014,82.32,-0.0435,-0.07514212827988338
47,2014-02-01,13.5,actual,1.0,2014,82.32,-0.0435,-0.07133746355685132
48,2014-03-01,15.81,actual,1.0,2014,82.32,-0.0435,-0.08354409620991253
49,2014-04-01,20.24,actual,2.0,2014,82.32,-0.0435,-0.1069533527696793
50,2014-05-01,23.89,actual,2.0,2014,82.32,-0.0435,-0.126240889212828
51,2014-06-01,24.33,actual,2.0,2014,82.32,-0.0435,-0.12856596209912535
52,2014-07-01,13.2,actual,3.0,2014,82.32,-0.0435,-0.06975218658892128
53,2014-08-01,13.78,actual,3.0,2014,82.32,-0.0435,-0.072817055393586
54,2014-09-01,18.17,actual,3.0,2014,82.32,-0.0435,-0.09601494169096211
55,2014-10-01,18.62,actual,4.0,2014,82.32,-0.0435,-0.09839285714285716
56,2014-11-01,18.11,actual,4.0,2014,82.32,-0.0435,-0.0956978862973761
57,2014-12-01,18.45,actual,4.0,2014,82.32,-0.0435,-0.0974945335276968
58,2015-01-01,52.67,actual,1.0,2015,82.32,0.026099999999999998,0.1669930758017493
59,2015-02-01,12.16,actual,1.0,2015,82.32,0.026099999999999998,0.038553935860058314
60,2015-03-01,15.45,actual,1.0,2015,82.32,0.026099999999999998,0.048985058309037904
61,2015-04-01,14.62,actual,2.0,2015,82.32,0.026099999999999998,0.04635349854227405
62,2015-05-01,13.83,actual,2.0,2015,82.32,0.026099999999999998,0.04384876093294461
63,2015-06-01,15.53,actual,2.0,2015,82.32,0.026099999999999998,0.0492387026239067
64,2015-07-01,13.17,actual,3.0,2015,82.32,0.026099999999999998,0.04175619533527697
65,2015-08-01,13.89,actual,3.0,2015,82.32,0.026099999999999998,0.044038994169096214
66,2015-09-01,12.15,actual,3.0,2015,82.32,0.026099999999999998,0.03852223032069971
67,2015-10-01,14.99,actual,4.0,2015,82.32,0.026099999999999998,0.04752660349854228
68,2015-11-01,12.09,actual,4.0,2015,82.32,0.026099999999999998,0.038331997084548104
69,2015-12-01,29.8,actual,4.0,2015,82.32,0.026099999999999998,0.09448250728862974
70,2016-01-01,15.88,actual,1.0,2016,82.32,0.0202,0.038966958211856174
71,2016-02-01,16.7,actual,1.0,2016,82.32,0.0202,0.04097910592808552
72,2016-03-01,20.48,actual,1.0,2016,82.32,0.0202,0.050254616132167154
73,2016-04-01,14.46,actual,2.0,2016,82.32,0.0202,0.03548250728862974
74,2016-05-01,18.7,actual,2.0,2016,82.32,0.0202,0.045886783284742466
75,2016-06-01,19.62,actual,2.0,2016,82.32,0.0202,0.04814431486880467
76,2016-07-01,20.39,actual,3.0,2016,82.32,0.0202,0.050033770651117596
77,2016-08-01,18.04,actual,3.0,2016,82.32,0.0202,0.04426724975704567
78,2016-09-01,19.84,actual,3.0,2016,82.32,0.0202,0.048684159378036926
79,2016-10-01,19.37,actual,4.0,2016,82.32,0.0202,0.04753085519922255
80,2016-11-01,27.35,actual,4.0,2016,82.32,0.0202,0.06711248785228377
81,2016-12-01,34.37,actual,4.0,2016,82.32,0.0202,0.08433843537414967
82,2017-01-01,23.3,actual,1.0,2017,82.32,0.0285,0.08066690962099125
83,2017-02-01,15.23,actual,1.0,2017,82.32,0.0285,0.052727769679300304
84,2017-03-01,19.47,actual,1.0,2017,82.32,0.0285,0.06740706997084549
85,2017-04-01,19.52,actual,2.0,2017,82.32,0.0285,0.06758017492711371
86,2017-05-01,19.58,actual,2.0,2017,82.32,0.0285,0.06778790087463558
87,2017-06-01,20.6,actual,2.0,2017,82.32,0.0285,0.0713192419825073
88,2017-07-01,22.67,actual,3.0,2017,82.32,0.0285,0.07848578717201168
89,2017-08-01,19.54,actual,3.0,2017,82.32,0.0285,0.06764941690962101
90,2017-09-01,26.57,actual,3.0,2017,82.32,0.0285,0.09198797376093296
91,2017-10-01,26.81,actual,4.0,2017,82.32,0.0285,0.09281887755102042
92,2017-11-01,30.25,actual,4.0,2017,82.32,0.0285,0.10472849854227406
93,2017-12-01,38.53,actual,4.0,2017,82.32,0.0285,0.13339467930029156
94,2018-01-01,28.04,actual,1.0,2018,82.32,0.0802,0.27317881438289604
95,2018-02-01,17.46,actual,1.0,2018,82.32,0.0802,0.17010349854227405
96,2018-03-01,20.28,actual,1.0,2018,82.32,0.0802,0.19757725947521868
97,2018-04-01,17.18,actual,2.0,2018,82.32,0.0802,0.16737560738581148
98,2018-05-01,22.13,actual,2.0,2018,82.32,0.0802,0.2156008260447036
99,2018-06-01,18.08,actual,2.0,2018,82.32,0.0802,0.17614382896015549
100,2018-07-01,17.68,actual,3.0,2018,82.32,0.0802,0.17224684159378034
101,2018-08-01,22.88,actual,3.0,2018,82.32,0.0802,0.22290767735665695
102,2018-09-01,23.03,actual,3.0,2018,82.32,0.0802,0.22436904761904763
103,2018-10-01,18.74,actual,4.0,2018,82.32,0.0802,0.18257385811467441
104,2018-11-01,21.8,actual,4.0,2018,82.32,0.0802,0.21238581146744412
105,2018-12-01,23.07,actual,4.0,2018,82.32,0.0802,0.2247587463556851
106,2019-01-01,20.22,actual,1.0,2019,82.32,0.0067,0.016456997084548106
107,2019-02-01,12.77,actual,1.0,2019,82.32,0.0067,0.01039346452866861
108,2019-03-01,16.68,actual,1.0,2019,82.32,0.0067,0.01357580174927114
109,2019-04-01,24.48,actual,2.0,2019,82.32,0.0067,0.019924198250728865
110,2019-05-01,26.28,actual,2.0,2019,82.32,0.0067,0.021389212827988342
111,2019-06-01,19.34,actual,2.0,2019,82.32,0.0067,0.015740767735665694
112,2019-07-01,20.51,actual,3.0,2019,82.32,0.0067,0.016693027210884358
113,2019-08-01,13.77,actual,3.0,2019,82.32,0.0067,0.011207361516034986
114,2019-09-01,16.67,actual,3.0,2019,82.32,0.0067,0.013567662779397475
115,2019-10-01,15.72,actual,4.0,2019,82.32,0.0067,0.012794460641399419
116,2019-11-01,18.38,actual,4.0,2019,82.32,0.0067,0.014959426627793974
117,2019-12-01,21.83,actual,4.0,2019,82.32,0.0067,0.01776737123420797
118,2020-01-01,18.08,actual,1.0,2020,82.32,0.0816,0.1792186588921283
119,2020-02-01,10.63,actual,1.0,2020,82.32,0.0816,0.1053702623906706
120,2020-03-01,14.68,actual,1.0,2020,82.32,0.0816,0.14551603498542276
121,2020-04-01,14.28,actual,2.0,2020,82.32,0.0844,0.14640816326530615
122,2020-05-01,15.69,actual,2.0,2020,82.32,0.0844,0.16086443148688045
123,2020-06-01,16.01,actual,2.0,2020,82.32,0.0844,0.16414528668610304
124,2020-07-01,19.88,actual,3.0,2020,82.32,0.0684999999999999,0.16542517006802698
125,2020-08-01,18.12,actual,3.0,2020,82.32,0.0684999999999999,0.150779883381924
126,2020-09-01,19.09,actual,3.0,2020,82.32,0.0684999999999999,0.15885143343051483
127,2020-10-01,18.11,actual,4.0,2020,82.32,0.0576,0.12671720116618077
128,2020-11-01,18.69,actual,4.0,2020,82.32,0.0576,0.13077551020408165
129,2020-12-01,33.62,actual,4.0,2020,82.32,0.0576,0.23524198250728862
130,2021-01-01,23.32,actual,1.0,2021,82.32,0.0757,0.2144465500485909
131,2021-02-01,16.75,actual,1.0,2021,82.32,0.0757,0.15403000485908652
132,2021-03-01,23.46,actual,1.0,2021,82.32,0.0757,0.2157339650145773
133,2021-04-01,20.04,actual,2.0,2021,82.32,0.0844,0.20546355685131196
134,2021-05-01,19.64,actual,2.0,2021,82.32,0.0844,0.2013624878522838
135,2021-06-01,16.24,actual,2.0,2021,82.32,0.0844,0.1665034013605442
136,2021-07-01,19.49600831749667,forecast,3.0,2021,82.32,0.0684999999999999,0.1622299040024927
137,2021-08-01,18.371303336146312,forecast,3.0,2021,82.32,0.0684999999999999,0.15287102508819492
138,2021-09-01,20.088235907427997,forecast,3.0,2021,82.32,0.0684999999999999,0.16715793970588141
139,2021-10-01,19.151137815245956,forecast,4.0,2021,82.32,0.0576,0.13400213048568602
140,2021-11-01,20.734428723397578,forecast,4.0,2021,82.32,0.0576,0.14508055083426877
141,2021-12-01,28.148960828712998,forecast,4.0,2021,82.32,0.0576,0.1969606588597994
142,2022-01-01,25.11726618063443,forecast,1.0,2022,82.32,0.0757,0.23097388846866213
143,2022-02-01,16.624219573046005,forecast,1.0,2022,82.32,0.0757,0.152873350544167
144,2022-03-01,19.66169355991649,forecast,1.0,2022,82.32,0.0757,0.18080541818339146
145,2022-04-01,19.680836490724925,forecast,2.0,2022,82.32,0.0844,0.2017811710176365
146,2022-05-01,21.05794477456323,forecast,2.0,2022,82.32,0.0844,0.21590021124552194
147,2022-06-01,19.77206735100733,forecast,2.0,2022,82.32,0.0844,0.2027165311497836
148,2022-07-01,19.212179455696187,forecast,3.0,2022,82.32,0.0684999999999999,0.15986811135995954
149,2022-08-01,18.27024583317241,forecast,3.0,2022,82.32,0.0684999999999999,0.15203010684794804
150,2022-09-01,20.197596817702426,forecast,3.0,2022,82.32,0.0684999999999999,0.16806795213953038
151,2022-10-01,19.611752648107267,forecast,4.0,2022,82.32,0.0576,0.13722509141532782
152,2022-11-01,20.91503986540705,forecast,4.0,2022,82.32,0.0576,0.14634430226523884
153,2022-12-01,27.83745069852304,forecast,4.0,2022,82.32,0.0576,0.19478099614126912
154,2023-01-01,25.22159955626765,forecast,1.0,2023,82.32,0.0757,0.23193331953467702
155,2023-02-01,16.445660489787958,forecast,1.0,2023,82.32,0.0757,0.15123135314345829
156,2023-03-01,19.784536852041384,forecast,1.0,2023,82.32,0.0757,0.18193506313162452
157,2023-04-01,20.038590230232018,forecast,2.0,2023,82.32,0.0844,0.20544910294358387
158,2023-05-01,21.243738863573807,forecast,2.0,2023,82.32,0.0844,0.21780509719213187
159,2023-06-01,19.73980246127093,forecast,2.0,2023,82.32,0.0844,0.2023857298021461
160,2023-07-01,18.927964520176648,forecast,3.0,2023,82.32,0.0684999999999999,0.1575031061263482
161,2023-08-01,18.178475015622386,forecast,3.0,2023,82.32,0.0684999999999999,0.1512664648408809
162,2023-09-01,20.31711521794004,forecast,3.0,2023,82.32,0.0684999999999999,0.16906248693256687
163,2023-10-01,20.072878112075426,forecast,4.0,2023,82.32,0.0576,0.14045162527399715
164,2023-11-01,21.08515591841109,forecast,4.0,2023,82.32,0.0576,0.147534618671098
165,2023-12-01,27.519288187193798,forecast,4.0,2023,82.32,0.0576,0.19255478614946098
166,2024-01-01,25.325534214090663,forecast,1.0,2024,82.32,0.0757,0.23288908406300576
167,2024-02-01,16.271981175128953,forecast,1.0,2024,82.32,0.0757,0.14963422922221356
168,2024-03-01,19.65354820854006,forecast,1.0,2024,82.32,0.0757,0.1807305149886398
169,2024-04-01,19.184522478645004,forecast,2.0,2024,82.32,0.0844,0.19669262599582588
170,2024-05-01,20.87442770880369,forecast,2.0,2024,82.32,0.0844,0.2140186708725743
171,2024-06-01,20.02245663054688,forecast,2.0,2024,82.32,0.0844,0.20528369042980527
172,2024-07-01,19.992984097532336,forecast,3.0,2024,82.32,0.0684999999999999,0.16636533171537454
173,2024-08-01,18.69541598797285,forecast,3.0,2024,82.32,0.0684999999999999,0.15556802662489533
174,2024-09-01,20.203204401983665,forecast,3.0,2024,82.32,0.0684999999999999,0.16811461388919813
175,2024-10-01,18.905630102674863,forecast,4.0,2024,82.32,0.0576,0.1322842922636142
176,2024-11-01,20.75760856324559,forecast,4.0,2024,82.32,0.0576,0.14524274213349683
177,2024-12-01,28.667479429954973,forecast,4.0,2024,82.32,0.0576,0.20058877735245464
178,2025-01-01,25.22636106151529,forecast,1.0,2025,82.32,0.0757,0.2319771054855087
179,2025-02-01,17.02136470578095,forecast,1.0,2025,82.32,0.0757,0.15652542616953574
180,2025-03-01,19.76066611312989,forecast,1.0,2025,82.32,0.0757,0.18171555208502585
181,2025-04-01,19.538686678687228,forecast,2.0,2025,82.32,0.0844,0.20032375554922283
182,2025-05-01,21.077452788910914,forecast,2.0,2025,82.32,0.0844,0.2161002205277067
183,2025-06-01,20.009026061250527,forecast,2.0,2025,82.32,0.0844,0.20514599120135382
184,2025-07-01,19.71004184366313,forecast,3.0,2025,82.32,0.0684999999999999,0.1640109167020071
185,2025-08-01,18.58533686231466,forecast,3.0,2025,82.32,0.0684999999999999,0.15465203778772502
186,2025-09-01,20.30226943359615,forecast,3.0,2025,82.32,0.0684999999999999,0.16893895240540993
187,2025-10-01,19.36517134141481,forecast,4.0,2025,82.32,0.0576,0.1354997411644185
188,2025-11-01,20.948462249567783,forecast,4.0,2025,82.32,0.0576,0.14657816151301073
189,2025-12-01,28.362994354883146,forecast,4.0,2025,82.32,0.0576,0.19845826953854095
190,2026-01-01,25.331299706803243,forecast,1.0,2026,82.32,0.0757,0.23294210250303762
191,2026-02-01,16.83825309921203,forecast,1.0,2026,82.32,0.0757,0.15484156457851686
192,2026-03-01,19.875727086083582,forecast,1.0,2026,82.32,0.0757,0.18277363221775114
193,2026-04-01,19.894870016897,forecast,2.0,2026,82.32,0.0844,0.20397558666497898
194,2026-05-01,21.27197830073194,forecast,2.0,2026,82.32,0.0844,0.21809462689282993
195,2026-06-01,19.986100877175957,forecast,2.0,2026,82.32,0.0844,0.20491094679709076
196,2026-07-01,19.426212981864527,forecast,3.0,2026,82.32,0.0684999999999999,0.16164912405948959
197,2026-08-01,18.48427935934212,forecast,3.0,2026,82.32,0.0684999999999999,0.15381111954748947
198,2026-09-01,20.411630343871785,forecast,3.0,2026,82.32,0.0684999999999999,0.1698489648390689
199,2026-10-01,19.82578617427382,forecast,4.0,2026,82.32,0.0576,0.13872270209404422
200,2026-11-01,21.129073391575204,forecast,4.0,2026,82.32,0.0576,0.14784191294396645
201,2026-12-01,28.0514842246892,forecast,4.0,2026,82.32,0.0576,0.19627860681998277
