quarter_end,稅後淨利率(母公司),每股稅後盈餘(元),date,Year,Month,Quarter
2021-03-31,0.2792,4.0,2021-01-01,2021,1,Q1
2020-12-31,0.24300000000000002,3.56,2020-10-01,2020,10,Q4
2020-09-30,0.2559,3.7,2020-07-01,2020,7,Q3
2020-06-30,0.2779,3.04,2020-04-01,2020,4,Q2
2020-03-31,0.2,1.72,2020-01-01,2020,1,Q1
2019-12-31,0.18510000000000001,1.99,2019-10-01,2019,10,Q4
2019-09-30,0.2126,2.23,2019-07-01,2019,7,Q3
2019-06-30,0.184,1.83,2019-04-01,2019,4,Q2
2019-03-31,0.18710000000000002,1.95,2019-01-01,2019,1,Q1
2018-12-31,0.18660000000000002,1.89,2018-10-01,2018,10,Q4
